playlist_name,track_name,artist,album,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
4TC,m.A.A.d city,Kendrick Lamar,"good kid, m.A.A.d city",439TlnnznSiBbQbgXiBqAd,65,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,audio_features,439TlnnznSiBbQbgXiBqAd,spotify:track:439TlnnznSiBbQbgXiBqAd,https://api.spotify.com/v1/tracks/439TlnnznSiBbQbgXiBqAd,https://api.spotify.com/v1/audio-analysis/439TlnnznSiBbQbgXiBqAd,350120,4,2
4TC,leavemealone,Fred again..,USB,1nzOUWyHoZLzf9EX0pnFPn,42,0.68,0.881,0,-4.503,1,0.0553,0.00499,0.0253,0.574,0.105,174.062,audio_features,1nzOUWyHoZLzf9EX0pnFPn,spotify:track:1nzOUWyHoZLzf9EX0pnFPn,https://api.spotify.com/v1/tracks/1nzOUWyHoZLzf9EX0pnFPn,https://api.spotify.com/v1/audio-analysis/1nzOUWyHoZLzf9EX0pnFPn,222784,4,2
4TC,Mecha Love,Hadouken!,Mecha Love,4k5VdMM9Pus72c42anrvhm,8,0.52,0.946,10,-2.451,0,0.176,0.053,0.0,0.0833,0.0686,133.924,audio_features,4k5VdMM9Pus72c42anrvhm,spotify:track:4k5VdMM9Pus72c42anrvhm,https://api.spotify.com/v1/tracks/4k5VdMM9Pus72c42anrvhm,https://api.spotify.com/v1/audio-analysis/4k5VdMM9Pus72c42anrvhm,288322,4,1
4TC,Skechers,DripReport,Skechers,2alc8VZAzDgdAsL2QMk3hu,63,0.903,0.327,1,-9.727,1,0.0877,0.26,0.011,0.108,0.274,100.008,audio_features,2alc8VZAzDgdAsL2QMk3hu,spotify:track:2alc8VZAzDgdAsL2QMk3hu,https://api.spotify.com/v1/tracks/2alc8VZAzDgdAsL2QMk3hu,https://api.spotify.com/v1/audio-analysis/2alc8VZAzDgdAsL2QMk3hu,106000,4,0
4TC,Trouble on My Mind,Pusha T,Fear of God II: Let Us Pray,3DzlR0kXE6shimFVhSwI4A,56,0.655,0.794,1,-6.113,0,0.367,0.0935,3.57e-05,0.383,0.608,172.106,audio_features,3DzlR0kXE6shimFVhSwI4A,spotify:track:3DzlR0kXE6shimFVhSwI4A,https://api.spotify.com/v1/tracks/3DzlR0kXE6shimFVhSwI4A,https://api.spotify.com/v1/audio-analysis/3DzlR0kXE6shimFVhSwI4A,212507,4,2
4TC,Time,Pink Floyd,The Dark Side of the Moon,3TO7bbrUKrOSPGRTB5MeCz,67,0.359,0.48,9,-11.79,1,0.0841,0.521,0.0043,0.178,0.355,120.285,audio_features,3TO7bbrUKrOSPGRTB5MeCz,spotify:track:3TO7bbrUKrOSPGRTB5MeCz,https://api.spotify.com/v1/tracks/3TO7bbrUKrOSPGRTB5MeCz,https://api.spotify.com/v1/audio-analysis/3TO7bbrUKrOSPGRTB5MeCz,413947,4,0
4TC,Break,Classic Jack,Can You Feel Anything,0qq3yetHj0Q5AJTML96qIQ,29,0.279,0.505,7,-8.82,1,0.0384,0.0799,0.0,0.353,0.567,200.431,audio_features,0qq3yetHj0Q5AJTML96qIQ,spotify:track:0qq3yetHj0Q5AJTML96qIQ,https://api.spotify.com/v1/tracks/0qq3yetHj0Q5AJTML96qIQ,https://api.spotify.com/v1/audio-analysis/0qq3yetHj0Q5AJTML96qIQ,202500,4,1
4TC,Now That I Have Your Attention,Classic Jack,Now That I Have Your Attention,7sKj7xtIXnBu9BbI5INics,18,0.574,0.506,11,-7.068,0,0.0281,0.0112,0.0,0.106,0.194,108.11,audio_features,7sKj7xtIXnBu9BbI5INics,spotify:track:7sKj7xtIXnBu9BbI5INics,https://api.spotify.com/v1/tracks/7sKj7xtIXnBu9BbI5INics,https://api.spotify.com/v1/audio-analysis/7sKj7xtIXnBu9BbI5INics,224861,4,1
4TC,You'll Be Fine,Anthony Green,Pixie Queen,2bD4MGHMz6FaTbUDuX0u2o,0,0.547,0.741,2,-5.421,0,0.0291,0.00678,0.297,0.167,0.426,122.056,audio_features,2bD4MGHMz6FaTbUDuX0u2o,spotify:track:2bD4MGHMz6FaTbUDuX0u2o,https://api.spotify.com/v1/tracks/2bD4MGHMz6FaTbUDuX0u2o,https://api.spotify.com/v1/audio-analysis/2bD4MGHMz6FaTbUDuX0u2o,278093,4,1
4TC,Shatter,Classic Jack,Can You Feel Anything,5du41zrUzl3tfB2xrZ9Dtj,21,0.396,0.905,2,-6.333,1,0.224,0.000393,2.84e-06,0.0751,0.341,185.108,audio_features,5du41zrUzl3tfB2xrZ9Dtj,spotify:track:5du41zrUzl3tfB2xrZ9Dtj,https://api.spotify.com/v1/tracks/5du41zrUzl3tfB2xrZ9Dtj,https://api.spotify.com/v1/audio-analysis/5du41zrUzl3tfB2xrZ9Dtj,182270,4,1
4TC,Down Under (feat. Colin Hay),Luude,Down Under (feat. Colin Hay),3Oww84xrmgjyr5J1ilOmAf,57,0.308,0.86,11,-4.111,0,0.168,0.0116,0.000828,0.277,0.0387,171.835,audio_features,3Oww84xrmgjyr5J1ilOmAf,spotify:track:3Oww84xrmgjyr5J1ilOmAf,https://api.spotify.com/v1/tracks/3Oww84xrmgjyr5J1ilOmAf,https://api.spotify.com/v1/audio-analysis/3Oww84xrmgjyr5J1ilOmAf,158774,4,1
4TC,Internet Friends,Knife Party,100% No Modern Talking,5qFL2uwfnGU8FccwLMgPNQ,55,0.64,0.903,5,-3.042,0,0.185,0.00105,0.0503,0.171,0.152,128.079,audio_features,5qFL2uwfnGU8FccwLMgPNQ,spotify:track:5qFL2uwfnGU8FccwLMgPNQ,https://api.spotify.com/v1/tracks/5qFL2uwfnGU8FccwLMgPNQ,https://api.spotify.com/v1/audio-analysis/5qFL2uwfnGU8FccwLMgPNQ,301122,4,1
4TC,I Predict A Riot,Kaiser Chiefs,Employment,75D3n6wnFQmu1HVmLAlWM4,63,0.395,0.979,8,-3.241,1,0.0766,0.0243,0.0,0.12,0.41,158.842,audio_features,75D3n6wnFQmu1HVmLAlWM4,spotify:track:75D3n6wnFQmu1HVmLAlWM4,https://api.spotify.com/v1/tracks/75D3n6wnFQmu1HVmLAlWM4,https://api.spotify.com/v1/audio-analysis/75D3n6wnFQmu1HVmLAlWM4,233187,4,1
4TC,One​-​Winged Angel (Final Fantasy VII),Nobuo Uematsu,Distant Worlds: Music from Final Fantasy,7GBP9vqKB9o9wcQrkblICD,46,0.497,0.525,2,-8.241,0,0.0405,0.869,0.0386,0.297,0.249,122.643,audio_features,7GBP9vqKB9o9wcQrkblICD,spotify:track:7GBP9vqKB9o9wcQrkblICD,https://api.spotify.com/v1/tracks/7GBP9vqKB9o9wcQrkblICD,https://api.spotify.com/v1/audio-analysis/7GBP9vqKB9o9wcQrkblICD,265573,4,0
4TC,MEGALOVANIA,Toby Fox,UNDERTALE Soundtrack,1J03Vp93ybKIxfzYI4YJtL,64,0.719,0.632,7,-9.849,1,0.0602,0.000377,0.855,0.0362,0.934,119.987,audio_features,1J03Vp93ybKIxfzYI4YJtL,spotify:track:1J03Vp93ybKIxfzYI4YJtL,https://api.spotify.com/v1/tracks/1J03Vp93ybKIxfzYI4YJtL,https://api.spotify.com/v1/audio-analysis/1J03Vp93ybKIxfzYI4YJtL,156000,4,3
4TC,Giorno's Theme,Friedrich Habetler,Giorno's Theme,0oFPCGIO4t2cmOkksXknoD,49,0.471,0.783,11,-6.005,1,0.0579,6.96e-06,0.825,0.209,0.483,137.981,audio_features,0oFPCGIO4t2cmOkksXknoD,spotify:track:0oFPCGIO4t2cmOkksXknoD,https://api.spotify.com/v1/tracks/0oFPCGIO4t2cmOkksXknoD,https://api.spotify.com/v1/audio-analysis/0oFPCGIO4t2cmOkksXknoD,306322,4,3
4TC,BEESWAX,hard life,BEESWAX,6pmOqyfbbFL1lTn9fo9SiS,34,0.714,0.702,5,-6.441,0,0.0593,0.575,1.62e-05,0.093,0.505,104.904,audio_features,6pmOqyfbbFL1lTn9fo9SiS,spotify:track:6pmOqyfbbFL1lTn9fo9SiS,https://api.spotify.com/v1/tracks/6pmOqyfbbFL1lTn9fo9SiS,https://api.spotify.com/v1/audio-analysis/6pmOqyfbbFL1lTn9fo9SiS,188805,4,0
4TC,Love Sosa,Chief Keef,Finally Rich,01Lr5YepbgjXAWR9iOEyH1,77,0.772,0.413,0,-8.194,0,0.0891,0.0361,0.0,0.111,0.211,131.964,audio_features,01Lr5YepbgjXAWR9iOEyH1,spotify:track:01Lr5YepbgjXAWR9iOEyH1,https://api.spotify.com/v1/tracks/01Lr5YepbgjXAWR9iOEyH1,https://api.spotify.com/v1/audio-analysis/01Lr5YepbgjXAWR9iOEyH1,246213,4,0
4TC,Hate It Or Love It,The Game,The Documentary,2wGSgTmgSF3xjRrHkTc25R,78,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,audio_features,2wGSgTmgSF3xjRrHkTc25R,spotify:track:2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/tracks/2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/audio-analysis/2wGSgTmgSF3xjRrHkTc25R,206400,4,0
4TC,In Da Club,50 Cent,Get Rich Or Die Tryin',4RY96Asd9IefaL3X4LOLZ8,72,0.904,0.72,6,-2.776,0,0.348,0.259,0.0,0.0749,0.805,90.062,audio_features,4RY96Asd9IefaL3X4LOLZ8,spotify:track:4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/tracks/4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/audio-analysis/4RY96Asd9IefaL3X4LOLZ8,193467,4,0
4TC,Many Men (Wish Death),50 Cent,Get Rich Or Die Tryin',1m14pmtptcjM7mdWyJyAoc,47,0.654,0.826,6,-2.93,0,0.354,0.0153,0.00146,0.131,0.417,108.52,audio_features,1m14pmtptcjM7mdWyJyAoc,spotify:track:1m14pmtptcjM7mdWyJyAoc,https://api.spotify.com/v1/tracks/1m14pmtptcjM7mdWyJyAoc,https://api.spotify.com/v1/audio-analysis/1m14pmtptcjM7mdWyJyAoc,256227,5,1
4TC,Dead Orbit,DEMATERIALIZE,Dead Orbit,1OB02VfwsURHt63tV75Muz,11,0.517,0.946,9,-4.913,1,0.124,0.000122,0.00324,0.278,0.203,149.998,audio_features,1OB02VfwsURHt63tV75Muz,spotify:track:1OB02VfwsURHt63tV75Muz,https://api.spotify.com/v1/tracks/1OB02VfwsURHt63tV75Muz,https://api.spotify.com/v1/audio-analysis/1OB02VfwsURHt63tV75Muz,211464,4,1
