track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Rancid Earth,DEMATERIALIZE,0.4,0.977,9,-4.27,0,0.251,0.0111,0.000359,0.301,0.0378,95.002,audio_features,15WNLEVHTAAWA41M8TexmU,spotify:track:15WNLEVHTAAWA41M8TexmU,https://api.spotify.com/v1/tracks/15WNLEVHTAAWA41M8TexmU,https://api.spotify.com/v1/audio-analysis/15WNLEVHTAAWA41M8TexmU,186947,4
Thank You (Not So Bad),Dimitri Vegas & Like Mike,0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,audio_features,09CnYHiZ5jGT1wr1TXJ9Zt,spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt,https://api.spotify.com/v1/tracks/09CnYHiZ5jGT1wr1TXJ9Zt,https://api.spotify.com/v1/audio-analysis/09CnYHiZ5jGT1wr1TXJ9Zt,140000,4
DROP!!,Joey Valence & Brae,0.795,0.732,1,-2.305,1,0.151,0.00173,0.0,0.362,0.446,129.934,audio_features,5f2vq0ScSvtILHaMb5GnVB,spotify:track:5f2vq0ScSvtILHaMb5GnVB,https://api.spotify.com/v1/tracks/5f2vq0ScSvtILHaMb5GnVB,https://api.spotify.com/v1/audio-analysis/5f2vq0ScSvtILHaMb5GnVB,125740,4
TEMPTATION,Joey Bada$$,0.775,0.707,10,-5.339,0,0.152,0.397,0.0,0.874,0.78,104.979,audio_features,3gJDgenxLephg09x86IxPs,spotify:track:3gJDgenxLephg09x86IxPs,https://api.spotify.com/v1/tracks/3gJDgenxLephg09x86IxPs,https://api.spotify.com/v1/audio-analysis/3gJDgenxLephg09x86IxPs,244198,4
Knights of Cydonia,Muse,0.366,0.963,11,-5.301,0,0.142,0.000273,0.0122,0.115,0.211,137.114,audio_features,7ouMYWpwJ422jRcDASZB7P,spotify:track:7ouMYWpwJ422jRcDASZB7P,https://api.spotify.com/v1/tracks/7ouMYWpwJ422jRcDASZB7P,https://api.spotify.com/v1/audio-analysis/7ouMYWpwJ422jRcDASZB7P,366213,4
Summertime Sadness,Lana Del Rey,0.566,0.647,1,-6.815,0,0.0335,0.0477,0.0,0.121,0.22,111.96,audio_features,1Ist6PR2BZR3n2z2Y5R6S1,spotify:track:1Ist6PR2BZR3n2z2Y5R6S1,https://api.spotify.com/v1/tracks/1Ist6PR2BZR3n2z2Y5R6S1,https://api.spotify.com/v1/audio-analysis/1Ist6PR2BZR3n2z2Y5R6S1,264773,4
Given Up,Linkin Park,0.655,0.886,7,-4.116,1,0.0435,0.00113,0.000409,0.0448,0.938,100.088,audio_features,1fLlRApgzxWweF1JTf8yM5,spotify:track:1fLlRApgzxWweF1JTf8yM5,https://api.spotify.com/v1/tracks/1fLlRApgzxWweF1JTf8yM5,https://api.spotify.com/v1/audio-analysis/1fLlRApgzxWweF1JTf8yM5,189293,4
Covet,Basement,0.428,0.799,4,-6.265,1,0.0468,0.00139,0.0742,0.0788,0.228,139.052,audio_features,1AMADyXgIWayh5vXLZo2qF,spotify:track:1AMADyXgIWayh5vXLZo2qF,https://api.spotify.com/v1/tracks/1AMADyXgIWayh5vXLZo2qF,https://api.spotify.com/v1/audio-analysis/1AMADyXgIWayh5vXLZo2qF,227340,4
HOT ONE (with TiaCorine & A$AP Ferg),Denzel Curry,0.788,0.715,5,-5.211,1,0.119,0.698,0.0,0.152,0.819,81.523,audio_features,2TmS5wJTfWrpFgakSSTdCi,spotify:track:2TmS5wJTfWrpFgakSSTdCi,https://api.spotify.com/v1/tracks/2TmS5wJTfWrpFgakSSTdCi,https://api.spotify.com/v1/audio-analysis/2TmS5wJTfWrpFgakSSTdCi,165271,4
Daylily,Movements,0.565,0.778,2,-5.475,1,0.028,0.00195,0.00129,0.156,0.421,104.067,audio_features,6AgtouHw1KrKy1PsoLjY3o,spotify:track:6AgtouHw1KrKy1PsoLjY3o,https://api.spotify.com/v1/tracks/6AgtouHw1KrKy1PsoLjY3o,https://api.spotify.com/v1/audio-analysis/6AgtouHw1KrKy1PsoLjY3o,208853,4
Helena Beat,Foster The People,0.67,0.876,5,-4.905,0,0.0536,0.0127,0.00302,0.109,0.736,126.968,audio_features,4VbDJMkAX3dWNBdn3KH6Wx,spotify:track:4VbDJMkAX3dWNBdn3KH6Wx,https://api.spotify.com/v1/tracks/4VbDJMkAX3dWNBdn3KH6Wx,https://api.spotify.com/v1/audio-analysis/4VbDJMkAX3dWNBdn3KH6Wx,276173,4
